Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Cooper, Andrew Michael",BILD 1 - The Cell (B),WI19,366,317,93.6%,95.2%,4.87,B+ (3.30),B (3.14)
"Byrne, Kathryne",BILD 1 - The Cell (C),WI19,186,102,72.8%,51.6%,5.79,B- (2.95),B+ (3.33)
"Komiyama, Takaki",BILD 12 - Neurobiology and Behavior (A),WI19,134,57,90.9%,98.1%,3.70,B+ (3.37),B- (2.74)
"Su, Chih-Ying",BILD 2 - Multicellular Life (A),WI19,166,78,86.7%,84.0%,6.37,B (3.13),B- (2.71)
"Owens, Melinda Tsao-Ying",BILD 2 - Multicellular Life (B),WI19,47,44,97.7%,90.9%,6.05,B+ (3.45),B+ (3.35)
"Strause, Linda G.",BILD 22 - Human Nutrition (A),WI19,386,234,96.4%,95.0%,3.13,B+ (3.68),B+ (3.54)
"Reuther, Keefe",BILD 3 - Organismic&Evolutionary Biol (A),WI19,379,330,92.9%,98.2%,4.65,B (3.07),B- (2.94)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (B),WI19,366,253,91.1%,94.7%,5.35,B (3.20),B- (2.70)
"Macagno, Eduardo R.","BILD 38 - Dementia, Science and Society (A)",WI19,43,23,100.0%,95.5%,3.32,B+ (3.58),B+ (3.49)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (A),WI19,185,141,94.8%,100.0%,3.07,B+ (3.69),B+ (3.63)
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (B),WI19,176,135,90.3%,99.3%,3.05,A- (3.74),A- (3.78)
"Mohan, Swarna",BILD 4 - Introductory Biology Lab (C),WI19,173,130,89.9%,82.9%,3.32,B+ (3.61),B+ (3.55)
"Mel, Stephanie",BILD 60 - DEI in Relation to Human Bio (A),WI19,45,21,100.0%,100.0%,2.98,A- (3.81),A- (3.77)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),WI19,15,11,100.0%,100.0%,0.68,A (4.00),N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),WI19,16,10,100.0%,88.9%,0.50,A (4.00),N/A
"Mel, Stephanie",BILD 1 - The Cell (A),FA18,275,127,88.5%,89.3%,5.25,B (3.18),C+ (2.35)
"Cooper, Andrew Michael",BILD 1 - The Cell (B),FA18,278,247,91.8%,95.1%,5.13,B (3.22),B- (2.89)
"Byrne, Kathryne",BILD 1 - The Cell (C),FA18,145,75,61.8%,41.8%,5.65,B+ (3.30),B+ (3.31)
"Burg, Michael",BILD 10 - Fundamental Concepts/Modrn Bio (A),FA18,343,296,95.2%,98.3%,3.67,B+ (3.50),B+ (3.40)
"Burg, Michael",BILD 2 - Multicellular Life (A),FA18,399,364,98.9%,97.5%,4.70,B+ (3.53),B+ (3.36)
"Rana, Brinda Kanti",BILD 20 - Human Genetics/Modern Society (A),FA18,113,64,73.0%,73.0%,3.53,B (3.04),B- (2.91)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (A),FA18,381,289,86.5%,87.5%,5.73,B (3.23),B- (2.80)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (B),FA18,371,299,88.8%,93.8%,5.38,B (3.19),B- (2.80)
"Broccard Bell, Heather Chr",BILD 3 - Organismic&Evolutionary Biol (C),FA18,116,65,90.3%,92.9%,3.88,B+ (3.49),C+ (2.47)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (A),FA18,372,325,90.7%,95.0%,3.50,B+ (3.50),B+ (3.69)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (B),FA18,186,148,96.5%,97.9%,2.83,B+ (3.59),B+ (3.69)
"Macagno, Eduardo R.",BILD 60 - DEI in Relation to Human Bio (A),FA18,41,17,76.5%,64.7%,2.97,A- (3.75),A- (3.79)
"Mohan, Swarna",BILD 70 - Genomics Research Init Lab I (A),FA18,27,20,100.0%,100.0%,1.97,A- (3.84),A (4.00)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),FA18,19,11,88.9%,100.0%,0.50,A (4.00),N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),FA18,19,11,63.6%,81.8%,0.68,A (4.00),N/A
"Butler, Madeline",BILD 96 - Biology: Honors Seminar (A),FA18,22,21,95.2%,100.0%,0.60,A (4.00),N/A
"Mohan, Swarna",BILD 1 - The Cell (A),S218,37,27,88.5%,88.5%,8.20,B (3.04),C+ (2.44)
"Gustafson-Brown, Cindy",BILD 10 - Fundamental Concepts/Modrn Bio (A),S218,28,24,91.3%,95.7%,7.46,B (3.20),B- (2.86)
"Chu, Monica W",BILD 12 - Neurobiology and Behavior (A),S218,27,9,100.0%,100.0%,5.61,B (3.25),B+ (3.39)
"Vijapurkar, Ulka",BILD 2 - Multicellular Life (A),S218,63,17,93.8%,100.0%,7.75,B+ (3.40),B (3.28)
"Broccard Bell, Heather Chr",BILD 3 - Organismic&Evolutionary Biol (A),S218,65,28,72.0%,88.0%,6.12,B (3.21),C+ (2.69)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (A),S218,57,23,90.0%,100.0%,4.21,B+ (3.57),A- (3.73)
"Davis, Amanda Gabrielle",BILD 1 - The Cell (A),S118,62,56,94.6%,92.9%,7.61,B+ (3.39),B- (2.89)
"Saier, Milton H.",BILD 18 - Human Impact on the Environmnt (A),S118,14,10,90.0%,77.8%,6.50,B (3.00),N/A
"Reuther, Keefe",BILD 2 - Multicellular Life (A),S118,60,52,96.2%,96.2%,7.31,B+ (3.43),B+ (3.42)
"Rana, Brinda Kanti",BILD 20 - Human Genetics/Modern Society (A),S118,30,12,81.8%,90.9%,6.14,B- (2.86),B (3.29)
"Waterton, Joseph Sebastian",BILD 3 - Organismic&Evolutionary Biol (A),S118,72,25,87.5%,91.7%,5.58,B+ (3.30),B- (2.81)
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (A),S118,54,39,97.4%,97.4%,3.66,A- (3.78),A- (3.78)
"Patrick, Gentry",BILD 1 - The Cell (A),SP18,243,128,84.6%,72.4%,5.85,B (3.08),B- (2.92)
"Pekkurnaz Banghart, Gulcin",BILD 1 - The Cell (B),SP18,37,17,93.8%,87.5%,3.75,A- (3.87),B (3.24)
"Chu, Monica W",BILD 1 - The Cell (C),SP18,261,201,94.0%,94.9%,4.84,B+ (3.47),B (3.13)
"Saier, Milton H.",BILD 18 - Human Impact on the Environmnt (A),SP18,148,63,91.4%,87.5%,3.22,B+ (3.51),B (3.19)
"Burg, Michael",BILD 2 - Multicellular Life (A),SP18,401,364,98.1%,97.8%,5.08,B+ (3.42),B (3.21)
"Strause, Linda G.",BILD 22 - Human Nutrition (A),SP18,403,227,95.1%,95.9%,3.24,B+ (3.58),B+ (3.57)
"Cooper, Kimberly Lynn",BILD 3 - Organismic&Evolutionary Biol (A),SP18,285,209,90.0%,94.2%,5.23,B (3.02),B- (2.74)
"Kurle, Carolyn M.",BILD 3 - Organismic&Evolutionary Biol (B),SP18,415,204,95.2%,98.9%,4.51,B+ (3.37),B- (2.96)
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (A),SP18,176,126,87.9%,97.6%,3.18,B+ (3.68),B+ (3.52)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (B),SP18,180,115,94.6%,99.1%,3.50,B+ (3.65),B+ (3.60)
"Mel, Stephanie",BILD 60 - DEI in Relation to Human Bio (A),SP18,48,23,95.2%,100.0%,2.50,A (4.00),A- (3.76)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),SP18,13,9,87.5%,87.5%,0.75,N/A,N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),SP18,16,5,100.0%,100.0%,0.50,N/A,N/A
"Hampton, Randolph Y.",BILD 87 - Freshman Seminar (C),SP18,18,15,92.9%,100.0%,0.90,A (4.00),N/A
"Chu, Monica W",BILD 1 - The Cell (A),WI18,204,168,97.0%,93.3%,5.01,B+ (3.50),B- (3.00)
"Burg, Michael",BILD 1 - The Cell (B),WI18,384,352,98.3%,98.6%,4.06,B+ (3.54),B (3.30)
"Komiyama, Takaki",BILD 12 - Neurobiology and Behavior (A),WI18,182,101,90.8%,92.9%,4.56,B (3.27),B- (2.80)
"Su, Chih-Ying",BILD 2 - Multicellular Life (A),WI18,78,43,95.1%,85.4%,6.36,B (3.27),C+ (2.66)
"Schroeder, Julian I",BILD 2 - Multicellular Life (B),WI18,320,271,97.4%,88.8%,5.05,B+ (3.39),B (3.17)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (A),WI18,374,302,94.3%,95.0%,4.67,B (3.28),B- (2.77)
"Reuther, Keefe",BILD 3 - Organismic&Evolutionary Biol (B),WI18,384,329,92.9%,98.8%,4.51,B (3.26),B- (2.94)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (A),WI18,189,129,90.8%,95.8%,3.14,B+ (3.57),B+ (3.43)
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (B),WI18,186,142,87.6%,97.1%,3.69,B+ (3.59),B+ (3.56)
"Macagno, Eduardo R.",BILD 60 - DEI in Relation to Human Bio (A),WI18,48,23,90.9%,90.9%,3.32,A (4.00),B+ (3.63)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),WI18,17,11,100.0%,100.0%,0.50,N/A,N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),WI18,14,8,75.0%,87.5%,0.50,A (4.00),N/A
"Mel, Stephanie",BILD 1 - The Cell (A),FA17,302,222,96.8%,98.1%,5.15,B+ (3.51),B- (2.80)
"Reuther, Keefe",BILD 1 - The Cell (B),FA17,278,235,96.6%,99.1%,5.03,B+ (3.30),B (3.07)
"Burg, Michael",BILD 10 - Fundamental Concepts/Modrn Bio (A),FA17,272,247,96.7%,96.7%,3.79,B+ (3.52),B+ (3.57)
"Burg, Michael",BILD 2 - Multicellular Life (A),FA17,342,292,98.6%,97.6%,4.95,B+ (3.60),B+ (3.43)
"Fortes, P. A. George",BILD 26 - Human Physiology (A),FA17,174,80,61.0%,50.7%,5.27,B- (2.71),C+ (2.58)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (A),FA17,407,332,93.3%,95.4%,5.00,B (3.27),B- (2.84)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (B),FA17,383,314,94.2%,95.8%,5.17,B+ (3.38),B- (2.84)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (A),FA17,186,174,83.4%,91.1%,3.72,B+ (3.57),B+ (3.58)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (B),FA17,184,151,81.9%,86.3%,3.81,B+ (3.49),B+ (3.58)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (C),FA17,184,152,87.2%,96.6%,3.34,B+ (3.40),B+ (3.60)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),FA17,18,8,100.0%,87.5%,0.50,N/A,N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),FA17,20,11,100.0%,90.0%,0.50,B (3.00),N/A
"Butler, Madeline",BILD 96 - Biology: Honors Seminar (A),FA17,19,14,100.0%,100.0%,0.64,A (4.00),N/A
"Espin Palazon, Raquel",BILD 1 - The Cell (A),S217,69,47,95.7%,95.7%,6.54,B+ (3.31),N/A
"Gustafson-Brown, Cindy",BILD 10 - Fundamental Concepts/Modrn Bio (A),S217,35,28,89.3%,92.6%,6.86,B (3.27),B- (2.94)
"Reuther, Keefe",BILD 3 - Organismic&Evolutionary Biol (A),S217,113,88,93.1%,100.0%,6.75,B+ (3.50),B (3.13)
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (A),S217,54,47,85.1%,100.0%,5.80,B+ (3.68),N/A
"Cooper, Andrew Michael",BILD 1 - The Cell (A),S117,59,52,96.2%,96.2%,6.88,B (3.14),B (3.05)
"Saier, Milton H.",BILD 18 - Human Impact on the Environmnt (A),S117,26,7,83.3%,80.0%,5.83,A (4.00),B+ (3.67)
"Vijapurkar, Ulka",BILD 2 - Multicellular Life (A),S117,92,25,92.0%,88.0%,8.74,B (3.29),B- (2.85)
"Broccard Bell, Heather Chr",BILD 3 - Organismic&Evolutionary Biol (A),S117,91,74,85.1%,87.8%,6.69,B (3.16),C+ (2.64)
"Reuther, Keefe",BILD 1 - The Cell (A),SP17,340,302,94.0%,91.0%,5.40,B+ (3.36),B- (2.88)
"Patrick, Gentry",BILD 1 - The Cell (B),SP17,141,125,92.0%,87.2%,5.22,B+ (3.31),B- (2.95)
"Saier, Milton H.",BILD 18 - Human Impact on the Environmnt (A),SP17,132,65,70.2%,66.7%,3.26,B+ (3.38),B- (2.82)
"Su, Chih-Ying",BILD 2 - Multicellular Life (A),SP17,242,111,90.5%,76.2%,6.94,B (3.08),C+ (2.62)
"Strause, Linda G.",BILD 22 - Human Nutrition (A),SP17,367,194,95.2%,93.6%,3.28,B+ (3.57),B+ (3.38)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (A),SP17,342,262,89.5%,93.4%,4.64,B (3.24),C+ (2.67)
"Kurle, Carolyn M.",BILD 3 - Organismic&Evolutionary Biol (B),SP17,450,231,92.0%,97.2%,4.60,B+ (3.42),B- (2.88)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (A),SP17,175,154,62.7%,71.2%,3.90,B+ (3.49),B+ (3.45)
"Bozinovic, Goran",BILD 4 - Introductory Biology Lab (B),SP17,136,64,78.0%,78.0%,3.87,B+ (3.59),B+ (3.62)
"Mel, Stephanie",BILD 60 - DEI in Relation to Human Bio (A),SP17,48,24,91.7%,100.0%,2.83,A- (3.71),A- (3.81)
"Bier, Ethan",BILD 7 - The Beginning of Life (A),SP17,192,60,83.0%,86.8%,3.78,B (3.18),B+ (3.36)
"Yanofsky, Martin F.",BILD 7 - The Beginning of Life (A),SP17,193,60,81.1%,98.1%,3.78,B (3.15),B+ (3.36)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),SP17,9,4,100.0%,100.0%,7.17,A (4.00),N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),SP17,10,5,100.0%,100.0%,4.50,N/A,N/A
"Hampton, Randolph Y.",BILD 87 - Freshman Seminar (C),SP17,17,10,77.8%,88.9%,1.61,A (4.00),N/A
"Mel, Stephanie",BILD 1 - The Cell (A),WI17,363,205,92.9%,86.9%,5.32,B (3.29),C+ (2.61)
"Dutton, Rachel Janelle",BILD 1 - The Cell (B),WI17,232,193,95.8%,82.8%,4.77,B+ (3.49),B (3.05)
"Komiyama, Takaki",BILD 12 - Neurobiology and Behavior (A),WI17,162,76,91.4%,97.1%,4.41,B (3.17),B- (2.83)
"Leutgeb, Jill K.",BILD 2 - Multicellular Life (A),WI17,204,108,94.1%,64.4%,6.24,B (3.06),B- (2.71)
"Schroeder, Julian I",BILD 2 - Multicellular Life (B),WI17,237,212,95.7%,90.9%,5.31,B+ (3.33),B (3.16)
"Kohn, Joshua R",BILD 3 - Organismic&Evolutionary Biol (A),WI17,365,209,83.5%,76.3%,5.41,B (3.01),C+ (2.70)
"Cooper, Kimberly Lynn",BILD 3 - Organismic&Evolutionary Biol (B),WI17,399,333,91.1%,95.7%,4.98,B (3.27),B- (2.83)
"McDonnell, Lisa Marie",BILD 4 - Introductory Biology Lab (A),WI17,185,136,83.5%,88.7%,3.94,B+ (3.42),B+ (3.65)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (B),WI17,188,129,84.8%,97.6%,3.22,B+ (3.55),B+ (3.46)
"Reuther, Keefe",BILD 4 - Introductory Biology Lab (C),WI17,186,171,72.5%,94.2%,3.55,B+ (3.38),B+ (3.52)
"Macagno, Eduardo R.",BILD 60 - DEI in Relation to Human Bio (A),WI17,50,22,95.0%,90.0%,3.13,A- (3.89),B+ (3.53)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),WI17,14,7,83.3%,100.0%,0.50,A (4.00),N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),WI17,18,5,100.0%,100.0%,0.50,N/A,N/A
"Mel, Stephanie",BILD 1 - The Cell (A),FA16,343,275,94.0%,93.7%,5.43,B+ (3.40),B- (2.90)
"Burg, Michael",BILD 1 - The Cell (B),FA16,188,130,92.1%,90.6%,4.17,B+ (3.41),B (3.24)
"Burg, Michael",BILD 10 - Fundamental Concepts/Modrn Bio (A),FA16,339,177,96.4%,97.6%,4.22,B+ (3.66),B+ (3.61)
"Wasserman, Steven A.",BILD 2 - Multicellular Life (A),FA16,195,119,94.0%,96.6%,6.72,B (3.13),C+ (2.65)
"Fortes, P. A. George",BILD 2 - Multicellular Life (B),FA16,121,46,90.9%,56.8%,5.05,B+ (3.48),B- (2.78)
"Fortes, P. A. George",BILD 26 - Human Physiology (A),FA16,111,48,81.4%,65.1%,3.99,B (3.00),C+ (2.65)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (A),FA16,316,257,91.3%,93.7%,5.65,B (3.22),B- (2.99)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (B),FA16,320,260,89.3%,95.6%,6.15,B (3.19),B- (2.99)
"Reuther, Keefe",BILD 3 - Organismic&Evolutionary Biol (C),FA16,413,355,91.8%,95.2%,4.96,B+ (3.39),B (3.07)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (A),FA16,182,175,88.4%,92.5%,3.94,B+ (3.51),A- (3.76)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (B),FA16,139,100,81.1%,97.9%,4.37,A- (3.77),A- (3.73)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (C),FA16,185,167,89.2%,97.0%,3.43,B+ (3.69),A- (3.76)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),FA16,21,13,75.0%,66.7%,0.83,A (4.00),N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),FA16,19,11,100.0%,100.0%,1.61,A (4.00),N/A
"Jin, Yishi",BILD 96 - Biology: Honors Seminar (A),FA16,26,15,75.0%,91.7%,0.83,N/A,N/A
"Reuther, Keefe",BILD 10 - Fundamental Concepts/Modrn Bio (A),S216,68,50,96.0%,100.0%,5.90,B+ (3.59),B+ (3.48)
"Reuther, Keefe",BILD 3 - Organismic&Evolutionary Biol (A),S216,131,111,90.0%,94.5%,6.63,B+ (3.43),B- (2.89)
"Hicks, Jenna Schug",BILD 1 - The Cell (A),S116,74,60,94.9%,98.3%,5.67,B (3.26),B- (2.87)
"Saier, Milton H.",BILD 18 - Human Impact on the Environmnt (A),S116,20,6,100.0%,100.0%,3.70,A- (3.80),B+ (3.58)
"Vijapurkar, Ulka",BILD 2 - Multicellular Life (A),S116,91,32,90.0%,86.7%,7.57,B (3.29),B- (2.98)
"Lewis, Levi Steele",BILD 3 - Organismic&Evolutionary Biol (A),S116,89,28,73.1%,76.9%,7.19,B+ (3.32),B- (2.74)
"McDonnell, Lisa Marie",BILD 4 - Introductory Biology Lab (A),S116,43,16,78.6%,92.9%,4.07,B+ (3.54),B+ (3.46)
"Reuther, Keefe",BILD 1 - The Cell (A),SP16,350,283,98.2%,94.6%,5.14,B+ (3.49),B- (2.84)
"Patrick, Gentry",BILD 1 - The Cell (B),SP16,194,83,87.8%,58.1%,5.04,B (3.20),B- (2.88)
"Saier, Milton H.",BILD 18 - Human Impact on the Environmnt (A),SP16,115,51,82.6%,82.6%,3.07,B+ (3.67),B (3.12)
"Su, Chih-Ying",BILD 2 - Multicellular Life (A),SP16,304,150,93.7%,79.0%,5.93,B (3.19),C+ (2.51)
"Strause, Linda G.",BILD 22 - Human Nutrition (A),SP16,348,160,97.3%,94.5%,3.43,B+ (3.68),B+ (3.58)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (A),SP16,289,208,85.0%,75.2%,4.84,B+ (3.41),B- (2.80)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (B),SP16,137,108,90.6%,87.7%,5.29,B+ (3.38),B- (2.82)
"Macagno, Eduardo R.","BILD 38 - Dementia, Science and Society (A)",SP16,45,19,94.4%,88.9%,3.06,B+ (3.31),B (3.24)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (A),SP16,201,157,69.5%,76.8%,3.59,B+ (3.41),B+ (3.34)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (B),SP16,197,127,84.7%,99.2%,3.06,B+ (3.69),B (3.24)
"Wang, Jean Yin Jen",BILD 40 - Intro to Biomed Research (A),SP16,81,39,100.0%,100.0%,0.68,A (4.00),N/A
"Mel, Stephanie",BILD 60 - Biology and Diversity (A),SP16,50,27,100.0%,100.0%,3.35,A- (3.85),A- (3.71)
"Bier, Ethan",BILD 7 - The Beginning of Life (A),SP16,175,59,73.2%,82.1%,3.42,B+ (3.36),B- (2.82)
"Yanofsky, Martin F.",BILD 7 - The Beginning of Life (A),SP16,186,59,73.2%,89.3%,3.46,B+ (3.36),B- (2.82)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),SP16,16,6,60.0%,60.0%,0.50,N/A,N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),SP16,12,5,100.0%,100.0%,0.50,A (4.00),N/A
"Mel, Stephanie",BILD 1 - The Cell (A),WI16,402,318,96.2%,94.9%,5.41,B+ (3.50),B (3.03)
"Burg, Michael",BILD 1 - The Cell (B),WI16,97,57,96.4%,87.5%,5.66,B (3.21),B (3.00)
"Leutgeb, Jill K.",BILD 2 - Multicellular Life (A),WI16,293,250,91.1%,74.5%,6.44,B (3.15),B (3.19)
"Schroeder, Julian I",BILD 2 - Multicellular Life (B),WI16,161,138,93.5%,92.0%,5.87,B+ (3.34),B (3.16)
"Fortes, P. A. George",BILD 26 - Human Physiology (A),WI16,131,57,74.5%,43.1%,5.10,B (3.05),C+ (2.65)
"Holway, David A.",BILD 3 - Organismic&Evolutionary Biol (A),WI16,363,191,82.5%,84.7%,5.00,B (3.11),C+ (2.67)
"Wills, Christopher",BILD 3 - Organismic&Evolutionary Biol (B),WI16,337,307,85.2%,82.9%,5.20,B (3.23),B- (2.99)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (A),WI16,233,199,71.3%,89.2%,2.84,B+ (3.57),B+ (3.32)
"Mel, Stephanie",BILD 4 - Introductory Biology Lab (B),WI16,239,203,85.4%,97.5%,2.99,B+ (3.67),B+ (3.43)
"Collins, Eva-Maria Schoetz",BILD 51 - Q-Bio Lab (A),WI16,25,25,60.0%,88.0%,8.90,B (3.29),A- (3.80)
"Macagno, Eduardo R.",BILD 60 - Biology and Diversity (A),WI16,47,16,93.8%,87.5%,5.00,B+ (3.67),A- (3.72)
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),WI16,15,12,100.0%,100.0%,1.05,A (4.00),N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),WI16,17,11,70.0%,80.0%,0.50,A (4.00),N/A
"Reuther, Keefe",BILD 1 - The Cell (A),FA15,234,189,95.2%,95.2%,5.77,B (3.28),B- (2.97)
"Mel, Stephanie",BILD 1 - The Cell (B),FA15,277,132,98.4%,92.9%,5.51,B+ (3.41),B- (2.85)
"Reinagel, Pam",BILD 12 - Neurobiology and Behavior (A),FA15,101,57,64.2%,52.8%,4.50,B+ (3.35),B+ (3.34)
"Wasserman, Steven A.",BILD 2 - Multicellular Life (A),FA15,207,167,94.0%,92.8%,6.82,B (3.07),B- (2.76)
"Fortes, P. A. George",BILD 2 - Multicellular Life (B),FA15,117,32,93.3%,46.7%,5.10,B+ (3.38),C+ (2.59)
"Kurle, Carolyn M.",BILD 3 - Organismic&Evolutionary Biol (A),FA15,410,232,95.1%,98.7%,4.47,B+ (3.47),B- (2.97)
"Kurle, Carolyn M.",BILD 3 - Organismic&Evolutionary Biol (B),FA15,332,189,97.8%,100.0%,3.97,B+ (3.59),B- (2.97)
"Stockwell, Sarah R",BILD 3 - Organismic&Evolutionary Biol (C),FA15,183,136,87.3%,81.3%,5.21,B+ (3.33),B- (2.97)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (A),FA15,248,165,82.1%,91.7%,3.15,A- (3.71),N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (A),FA15,18,11,60.0%,70.0%,1.10,A- (3.75),N/A
"Saier, Milton H.",BILD 87 - Freshman Seminar (B),FA15,20,15,92.9%,92.9%,0.50,A (4.00),N/A
"French, Kathleen Ann",BILD 96 - Biology: Honors Seminar (A),FA15,23,16,64.3%,71.4%,1.36,A (4.00),N/A
"Chu, Monica W",BILD 12 - Neurobiology and Behavior (A),S215,19,18,94.1%,88.2%,7.56,B+ (3.46),N/A
"Perks, Krista Eva",BILD 2 - Multicellular Life (A),S215,102,87,92.9%,64.7%,9.46,B (3.29),B (3.08)
"Lo, Stanley Malvin Ming-Hi",BILD 4 - Introductory Biology Lab (A),S215,25,21,100.0%,100.0%,2.40,A- (3.90),B+ (3.33)
